阶段,求解状态,严格支配方案一,weighted_lateness,makespan_s,energy_kwh,transport_sorties,relay_sorties,迟到变化,最晚返航变化_s,能耗变化_kwh
full,OPTIMAL,False,2908010.1196355224,23094.170391878757,99.14120899024186,31,13,0.0,0.0,0.0
full,FEASIBLE,True,776789.504338,16414.598767175863,95.19766924183904,31,13,-2131220.6152975224,-6679.571624702894,-3.943539748402827
full,FEASIBLE,True,741231.6006800185,15554.752809918487,95.0375896111461,31,13,-2166778.5189555036,-7539.41758196027,-4.103619379095761
full,FEASIBLE,True,744223.3102887579,15554.752809918487,94.93614516670165,31,13,-2163786.8093467643,-7539.41758196027,-4.205063823540215
full,OPTIMAL,True,741231.6006800185,15554.752809918487,95.0375896111461,31,13,-2166778.5189555036,-7539.41758196027,-4.103619379095761
full,OPTIMAL,True,741231.6006800185,15554.752809918487,95.0375896111461,31,13,-2166778.5189555036,-7539.41758196027,-4.103619379095761
full,OPTIMAL,True,741231.6006800185,15554.752809918487,95.0375896111461,31,13,-2166778.5189555036,-7539.41758196027,-4.103619379095761
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93920072225721,31,13,-2166778.5189555036,-7539.41758196027,-4.202008267984652
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,741231.6006800185,15554.752809918487,94.93797850003499,31,13,-2166778.5189555036,-7539.41758196027,-4.203230490206877
full,OPTIMAL,True,632182.8956649068,15159.195158195356,91.96517872557403,31,12,-2275827.2239706153,-7934.975233683401,-7.17603026466783
